Date,Close/Last,Volume,Open,High,Low
01/10/2019,$299.15,6954,$299,$299.15,$295.4
01/09/2019,$300.3106,795,$303.67,$303.77,$300.2
01/08/2019,$298.96,393,$298,$299,$295.1
01/07/2019,$287.5,419,$285.95,$288.5,$285.57
01/04/2019,$288,93,$282.55,$288,$281.2
01/03/2019,$278.94,1428,$279.75,$281.2,$276.2
01/02/2019,$287,1080,$289.9,$289.9,$287
12/31/2018,$296.2,1431,$297.1,$297.1,$292.05
12/28/2018,$290.95,489,$290,$290.95,$290
12/27/2018,$286.36,365,$281.5,$286.36,$280.03
12/26/2018,$282.32,679,$279.48,$282.32,$272.3
12/24/2018,$279.48,503,$276.25,$280,$274.68
12/21/2018,$289,914,$286.49,$289,$283.16
12/20/2018,$282.99,712,$287.77,$287.77,$282.95
12/19/2018,$280.6,895,$288.55,$288.55,$280.6
12/18/2018,$289.05,65,$289.95,$289.95,$285.75
12/17/2018,$279.89,849,$280.4,$284.09,$279.89
12/14/2018,$282.75,1041,$283.89,$285.75,$282.75
12/13/2018,$291.45,223,$290.225,$291.45,$288.6
12/12/2018,$287.95,315,$288.4,$290,$287.95
12/11/2018,$282.8,4774,$285.99,$286.15,$281
12/10/2018,$275.07,14011,$280.45,$282.2373,$275.07
12/07/2018,$282,100,$285.5,$286.9125,$282
12/06/2018,$290.05,202,$283.9,$290.05,$282
12/04/2018,$298.45,676,$300.97,$300.97,$289.69
12/03/2018,$301.61,228,$301.65,$301.81,$299.05
11/30/2018,$287.55,412,$285,$287.55,$284.5
11/29/2018,$290.5,1987,$293.2,$296.25,$290.25
11/28/2018,$294.68,440,$290,$295.84,$288.74
11/27/2018,$286.7975,148,$288.69,$288.69,$285.39
11/26/2018,$292.15,186,$291.7,$292.15,$290.3875
11/23/2018,$290.9,59,$291.4,$293.7,$290.25
11/21/2018,$295.99,1390,$294,$298.1,$294
11/20/2018,$289.55,1888,$287.45,$290.64,$286.61
11/19/2018,$294.91,135,$300.85,$300.85,$294.91
11/16/2018,$303.81,153,$301.65,$303.81,$299.7
11/15/2018,$304,1082,$299.46,$304,$296.79
11/14/2018,$303.5,177,$306.85,$306.85,$302
11/13/2018,$300.77,224,$301.49,$305.9,$299.5
11/12/2018,$295.71,690,$298.5,$298.5,$294.3
11/09/2018,$300,487,$302.9,$303.2,$300
11/08/2018,$307.5,959,$308.9,$310.1,$307.5
11/07/2018,$315.5,807,$318.65,$318.65,$314.35
11/06/2018,$312.9225,395,$315,$315,$310.55
11/05/2018,$316.06,483,$313.85,$318.49,$313.85
11/02/2018,$316.11,315,$317,$318.72,$315.51
11/01/2018,$308.075,129,$303.7,$308.075,$303.7
10/31/2018,$302.8626,45775,$304.4,$305.9,$302.8626
10/30/2018,$292.85,434,$293.19,$295.7,$292.81
10/29/2018,$293.28,256,$301.2,$301.62,$293.28
10/26/2018,$297.34,569,$298.55,$302.09,$296.98
10/25/2018,$302.75,176,$301.19,$303.52,$300.05
10/24/2018,$291.08,767,$302.45,$302.45,$291.08
10/23/2018,$301.85,3456,$295.35,$301.85,$295.35
10/22/2018,$304.04,1236,$303.45,$305.6,$300.75
10/19/2018,$304.8,543,$303.25,$305.26,$302.2
10/18/2018,$298.83,1321,$302.8,$302.8,$296
10/17/2018,$306.1,362,$305,$306.65,$302.33
10/16/2018,$307.11,1353,$303.6,$307.85,$303.6
10/15/2018,$300.93,2091,$302.05,$302.8,$300.93
10/12/2018,$305.6,1425,$307.1,$307.1,$301.6
10/11/2018,$300.54,511,$306.02,$306.56,$300.54
10/10/2018,$302.25,6323,$307.28,$307.53,$301.57
10/09/2018,$334.77,490,$322.25,$334.77,$322.25
10/08/2018,$322.255,526,$323.75,$325,$322.25
10/05/2018,$329.11,680,$329.3,$330.32,$327.55
10/04/2018,$332.05,962,$334.28,$334.28,$329.84
10/03/2018,$347.95,163,$349.45,$349.85,$347.69
10/02/2018,$346.8,705,$347.35,$348.77,$346.8
10/01/2018,$355.95,197,$354.65,$356.76,$354.5
09/28/2018,$352.25,332,$355.44,$355.44,$352.25
09/27/2018,$357.1,292,$355.65,$359.6,$355.65
09/26/2018,$359.4175,401,$359.35,$360.65,$357.06
09/25/2018,$356.37,542,$358.77,$358.77,$356.37
09/24/2018,$358.6125,64,$359.95,$360.45,$358
09/21/2018,$359.15,417,$357.15,$359.15,$354.2
09/20/2018,$350.51,287,$345.26,$350.51,$345.26
09/19/2018,$340,101,$337.5,$340.05,$337.5
09/18/2018,$337.5,157,$334.5,$337.5,$334.5
09/17/2018,$337.75,304,$340,$340,$335.24
